wavelength_um,SW,uc_SW,Total,uc_Total,LW,uc_LW,SSW,uc_SSW
4.40899,0.0801661,0.00488647,0.972304,0.000970636,0.00264055,0.00093403,0.194016,0.00457464
4.41251,0.0791366,0.00466633,0.972323,0.000970519,0.00271713,0.00093807,0.193055,0.00439288
4.41603,0.0782402,0.00444677,0.972343,0.000970414,0.00279702,0.000942183,0.192221,0.00421185
4.41955,0.0774815,0.00422783,0.972363,0.000970321,0.0028803,0.000946369,0.191518,0.00403162
4.42307,0.0768635,0.00401007,0.972383,0.000970841,0.0029671,0.000950755,0.190951,0.00385195
4.4266,0.0763816,0.00379299,0.972402,0.000971996,0.00305749,0.000955359,0.190514,0.00367242
4.43013,0.0760283,0.00357687,0.972422,0.00097317,0.00315159,0.000960035,0.190201,0.00349398
4.43367,0.0757961,0.00336125,0.972442,0.000974364,0.0032495,0.000964794,0.190005,0.00331628
4.4372,0.0756775,0.00314754,0.972462,0.000975578,0.00335132,0.000969612,0.189919,0.00314049
4.44074,0.075665,0.00293477,0.972482,0.000976814,0.00345714,0.000974512,0.189937,0.00296586
4.44429,0.0757512,0.00272329,0.972502,0.000978071,0.00356708,0.000979491,0.190051,0.0027927
4.44783,0.0759286,0.0025147,0.972523,0.000979349,0.00368123,0.000984526,0.190254,0.0026223
4.45138,0.0761896,0.0023084,0.972543,0.00098065,0.00379969,0.000989638,0.190541,0.00245417
4.45493,0.0765269,0.00210579,0.972563,0.000981974,0.00392256,0.000994816,0.190903,0.00228936
4.45848,0.0769328,0.00190796,0.972583,0.000983319,0.00404996,0.00100006,0.191334,0.00212859
4.46204,0.0774,0.00171598,0.972604,0.000984689,0.00418196,0.00100537,0.191828,0.00197241
4.4656,0.0779209,0.00168844,0.972624,0.000985991,0.00431869,0.001022,0.192376,0.00193413
4.46916,0.0784881,0.00167677,0.972645,0.000987307,0.00446023,0.00104053,0.192973,0.00190731
4.47273,0.0790941,0.00166513,0.972665,0.000988649,0.00460669,0.0010599,0.193612,0.0018806
4.4763,0.0797313,0.00165354,0.972686,0.000990016,0.00475818,0.00108002,0.194285,0.00185404
4.47987,0.0803924,0.001642,0.972707,0.00099141,0.00491479,0.00110084,0.194986,0.00182764
4.48344,0.0810697,0.00163052,0.972727,0.000992828,0.00507662,0.00112232,0.195707,0.00180141
4.48702,0.0817559,0.00161906,0.972748,0.000994274,0.00524377,0.00114448,0.196443,0.0017753
