wavelength_um,lst,u_random_lst
0.449299,0.919806,0.0003261
0.449657,0.919904,0.000324029
0.450016,0.92,0.000321955
0.450375,0.920095,0.000319879
0.450734,0.920189,0.0003178
0.451094,0.920282,0.000315719
0.451454,0.920373,0.000313636
0.451814,0.920464,0.000311552
0.452174,0.920553,0.000309466
0.452535,0.920641,0.000307379
0.452896,0.920728,0.000305291
0.453257,0.920814,0.000303203
0.453619,0.920898,0.000301115
0.45398,0.920982,0.000299027
0.454343,0.921064,0.000296939
0.454705,0.921146,0.000294852
0.455068,0.921226,0.000292765
0.455431,0.921305,0.000291397
0.455794,0.921384,0.000291492
0.456158,0.921461,0.00029159
0.456522,0.921537,0.000291692
0.456886,0.921612,0.000291798
0.45725,0.921687,0.000291909
0.457615,0.92176,0.000292024
0.45798,0.921832,0.000292144
0.458345,0.921904,0.000292269
0.458711,0.921974,0.000292398
0.459077,0.922044,0.000292533
0.459443,0.922112,0.000292674
0.45981,0.92218,0.000292819
0.460176,0.922247,0.000292971
0.460543,0.922313,0.000293128
0.460911,0.922379,0.000293291
0.461278,0.922443,0.00029346
0.461646,0.922507,0.000293634
0.462015,0.92257,0.000293815
0.462383,0.922632,0.000294002
0.462752,0.922693,0.000294233
0.463121,0.922754,0.000294584
0.463491,0.922814,0.00029494
0.46386,0.922873,0.000295304
0.46423,0.922931,0.000295673
0.464601,0.922989,0.000296049
0.464971,0.923046,0.000296432
0.465342,0.923102,0.000296821
0.465713,0.923158,0.000297216
0.466085,0.923213,0.000297617
0.466457,0.923268,0.000298025
0.466829,0.923321,0.000298438
0.467201,0.923375,0.000298858
0.467574,0.923427,0.000299284
0.467947,0.923479,0.000299715
0.46832,0.923531,0.000300152
0.468694,0.923582,0.000300595
0.469068,0.923633,0.000301043
0.469442,0.923683,0.000301496
0.469816,0.923732,0.000301955
0.470191,0.923781,0.000303274
0.470566,0.92383,0.000308593
0.470942,0.923878,0.000313929
0.471317,0.923925,0.00031928
0.471693,0.923973,0.000324648
0.472069,0.924019,0.000330029
0.472446,0.924066,0.000335425
0.472823,0.924112,0.000340835
0.4732,0.924157,0.000346257
0.473578,0.924203,0.000351691
0.473955,0.924248,0.000357137
0.474333,0.924292,0.000362594
0.474712,0.924337,0.000368062
0.47509,0.924381,0.00037354
0.475469,0.924424,0.000379028
0.475849,0.924468,0.000384525
0.476228,0.924511,0.000390032
0.476608,0.924554,0.000395546
0.476988,0.924597,0.000401069
0.477369,0.924639,0.0004066
0.47775,0.924682,0.000411271
0.478131,0.924724,0.000408179
0.478512,0.924766,0.000405087
0.478894,0.924808,0.000401995
0.479276,0.924849,0.000398903
0.479658,0.924891,0.000395811
0.480041,0.924932,0.000392718
0.480424,0.924974,0.000389625
0.480807,0.925015,0.000386531
0.481191,0.925056,0.000383436
0.481574,0.925097,0.00038034
0.481959,0.925138,0.000377242
0.482343,0.925179,0.000374143
0.482728,0.92522,0.000371042
0.483113,0.925261,0.000367939
0.483498,0.925302,0.000364833
0.483884,0.925343,0.000361725
0.48427,0.925384,0.000358615
0.484656,0.925425,0.000355502
0.485043,0.925466,0.000352387
0.48543,0.925507,0.000349278
0.485817,0.925548,0.00034655
0.486205,0.925589,0.000343818
0.486592,0.92563,0.000341082
0.486981,0.925671,0.000338343
0.487369,0.925712,0.000335601
0.487758,0.925752,0.000332855
0.488147,0.925793,0.000330105
0.488536,0.925834,0.000327351
0.488926,0.925875,0.000324593
0.489316,0.925916,0.000321832
0.489706,0.925956,0.000319067
0.490097,0.925997,0.000316297
0.490488,0.926038,0.000313524
0.490879,0.926078,0.000310746
0.491271,0.926119,0.000307965
0.491663,0.926159,0.000305179
0.492055,0.9262,0.00030239
0.492447,0.92624,0.000299596
0.49284,0.92628,0.000296798
0.493233,0.92632,0.000293996
0.493627,0.926361,0.000291961
0.494021,0.926401,0.000289964
0.494415,0.926441,0.000287961
0.494809,0.926481,0.000285953
0.495204,0.926521,0.000283939
0.495599,0.926561,0.00028192
0.495994,0.926601,0.000279896
0.49639,0.92664,0.000277866
0.496786,0.92668,0.000275832
0.497182,0.92672,0.000273792
0.497579,0.926759,0.000271746
0.497976,0.926798,0.000269696
0.498373,0.926838,0.00026764
0.49877,0.926877,0.00026558
0.499168,0.926916,0.000263514
0.499566,0.926955,0.000261443
