wavelength_um,radiance_w_m2_sr_um
0.29481,0.16474
0.2949,0.0856841
0.29499,0.143796
0.29507,0.314818
0.29516,0.419826
0.29525,0.447125
0.29533,0.484741
0.29542,0.303954
0.29551,0.221274
0.2956,0.46852
0.29568,0.392214
0.29577,0.283197
0.29586,0.323398
0.29595,0.530059
0.29603,0.419348
0.29612,0.454833
0.29621,0.425676
0.2963,0.501642
0.29638,0.646679
0.29647,0.375302
0.29656,0.148554
0.29665,0.282882
0.29674,0.137744
0.29682,0.190983
0.29691,0.279279
0.297,0.34221
0.29709,0.14637
0.29718,0.337459
0.29727,0.362852
0.29735,0.284346
0.29744,0.193929
0.29753,0.506348
0.29762,0.490101
0.29771,0.375443
0.2978,0.687051
0.29789,0.610468
0.29797,0.481122
0.29806,0.379301
0.29815,0.394191
0.29824,0.170776
0.29833,0.383738
0.29842,0.222033
0.29851,0.259853
0.2986,0.247
0.29869,0.284255
0.29878,0.489697
0.29886,0.25265
0.29895,0.4437
0.29904,0.544725
0.29913,0.588207
0.29922,0.612
0.29931,0.557673
0.2994,0.625366
0.29949,0.287833
0.29958,0.290078
0.29967,0.637635
0.29976,0.638777
0.29985,0.824446
0.29994,0.701603
0.30003,0.229521
0.30012,0.38497
0.30021,0.224852
0.3003,0.452872
0.30039,0.300529
0.30048,0.404095
0.30057,0.791943
0.30066,0.739089
0.30075,0.543092
0.30084,0.510647
0.30093,0.37877
0.30102,0.460364
0.30111,0.967351
0.3012,0.99886
0.3013,0.491916
0.30139,1.00193
0.30148,0.954437
0.30157,0.766743
0.30166,1.17518
0.30175,1.13846
0.30184,0.436726
0.30193,0.883891
0.30202,0.552611
0.30211,0.325735
0.30221,0.213685
0.3023,0.983025
0.30239,1.46042
0.30248,0.973931
0.30257,1.45507
0.30266,0.486872
0.30276,1.02828
0.30285,2.45797
0.30294,2.37674
0.30303,1.67249
0.30312,1.84542
0.30321,1.04247
0.30331,3.00662
0.3034,2.46471
0.30349,2.56747
0.30358,2.85718
0.30367,2.70616
0.30377,2.24359
0.30386,0.622446
0.30395,2.41001
0.30404,2.32831
0.30414,1.70333
0.30423,2.49838
