wavelength_um,radiance_w_m2_sr_um
0.33625,75.1804
0.33636,230.913
0.33647,234.277
0.33659,326.596
0.3367,190.241
0.33681,229.009
0.33693,209.052
0.33704,93.6917
0.33715,149.327
0.33727,143.278
0.33738,132.106
0.3375,194.054
0.33761,252.412
0.33772,299.531
0.33784,238.102
0.33795,234.27
0.33807,249.477
0.33818,89.3887
0.33829,299.851
0.33841,293.875
0.33852,260.079
0.33864,251.288
0.33875,285.922
0.33887,212.465
0.33898,226.434
0.3391,305.134
0.33921,171.697
0.33933,158.722
0.33944,195.896
0.33956,205.046
0.33967,253.26
0.33979,307.716
0.3399,349.591
0.34002,227.283
0.34014,364.051
0.34025,244.726
0.34037,180.662
0.34048,286.034
0.3406,193.891
0.34072,246.558
0.34083,145.216
0.34095,290.485
0.34106,190.437
0.34118,287.662
0.3413,290.911
0.34141,139.069
0.34153,210.377
0.34165,213.28
0.34176,246.969
0.34188,267.757
0.342,319.338
0.34211,311.904
0.34223,234.927
0.34235,198.032
0.34247,170.618
0.34258,227.861
0.3427,228.246
0.34282,205.385
0.34294,184.384
0.34305,354.392
0.34317,281.542
0.34329,208.956
0.34341,189.086
0.34352,285.477
0.34364,243.529
0.34376,293.617
0.34388,253.574
0.344,226.305
0.34412,151.817
0.34423,137.711
0.34435,173.482
0.34447,98.5508
0.34459,255.553
0.34471,153.554
0.34483,194.504
0.34495,354.381
0.34507,317.401
0.34518,292.356
0.3453,163.916
0.34542,148.431
0.34554,265.976
0.34566,335.527
0.34578,277.141
0.3459,251.983
0.34602,249.796
0.34614,207.64
0.34626,126.401
0.34638,237.733
0.3465,280.788
0.34662,258.578
0.34674,198.671
0.34686,198.675
0.34698,226.728
0.3471,263.516
0.34722,214.388
0.34734,212.881
0.34746,241.368
0.34758,203.573
0.34771,181.37
0.34783,187.973
0.34795,224.797
0.34807,252.838
0.34819,267.016
0.34831,373.039
0.34843,207.358
0.34855,264.456
0.34868,281.178
0.3488,372.402
0.34892,227.549
0.34904,242.898
0.34916,93.731
0.34928,322.075
0.34941,112.673
0.34953,282.562
0.34965,200.163
0.34977,164.502
0.3499,169.191
0.35002,324.64
0.35014,221.504
0.35026,354.844
0.35039,306.631
0.35051,336.016
0.35063,289.39
0.35075,200.088
0.35088,291.707
0.351,346.572
0.35112,158.194
0.35125,281.634
0.35137,211.557
0.35149,165.146
0.35162,140.266
0.35174,256.383
0.35186,356.786
0.35199,298.175
0.35211,234.987
0.35224,181.184
0.35236,309.47
0.35249,161.385
0.35261,272.581
0.35273,65.0997
0.35286,258.959
0.35298,347.053
0.35311,275.555
0.35323,332.215
0.35336,315.513
0.35348,341.182
0.35361,227.663
0.35373,228.236
0.35386,227.485
0.35398,328.431
0.35411,301.578
0.35423,288.702
0.35436,253.379
0.35448,349.661
0.35461,303.066
0.35474,338.087
0.35486,230.207
0.35499,292.768
0.35511,318.033
0.35524,313.236
0.35537,265.481
0.35549,235.018
0.35562,228.418
0.35575,248.858
0.35587,410.523
0.356,262.743
0.35613,253.027
0.35625,266.361
0.35638,354.981
0.35651,310.505
0.35663,87.9507
0.35676,163.799
0.35689,275.896
0.35702,176.867
0.35714,109.26
0.35727,190.901
0.3574,296.701
0.35753,269.253
0.35765,247.097
0.35778,243.355
0.35791,251.351
0.35804,256.458
0.35817,125.563
0.35829,118.757
0.35842,238.805
0.35855,132.446
0.35868,84.9117
0.35881,81.4092
0.35894,245.921
0.35907,180.903
0.3592,315.157
0.35932,381.982
0.35945,195.473
0.35958,269.587
0.35971,217.758
0.35984,311.728
0.35997,336.013
0.3601,400.696
0.36023,346.71
0.36036,175.644
0.36049,248.674
0.36062,137.235
0.36075,211.971
0.36088,333.814
0.36101,96.725
0.36114,127.064
0.36127,262.803
0.3614,208.338
0.36153,349.653
0.36166,308.827
0.36179,395.998
0.36193,100.379
0.36206,101.619
0.36219,248.892
0.36232,262.318
0.36245,268.95
0.36258,222.304
0.36271,440.686
0.36284,307.642
0.36298,358.364
0.36311,216.612
0.36324,68.3612
0.36337,232.797
0.3635,320.217
0.36364,237.458
0.36377,176.296
0.3639,252.41
0.36403,359.152
0.36417,346.977
0.3643,312.882
0.36443,226.438
0.36456,203.154
0.3647,226.937
0.36483,229.833
0.36496,279.266
0.3651,240.296
0.36523,264.557
0.36536,371.03
0.3655,329.687
0.36563,347.937
0.36576,389.422
0.3659,300.285
0.36603,382.541
0.36617,357.464
0.3663,289.926
0.36643,272.844
0.36657,259.486
0.3667,379.136
0.36684,296.4
0.36697,258.482
0.36711,257.699
0.36724,347.792
0.36738,374.363
0.36751,270.754
0.36765,357.589
0.36778,313.946
0.36792,263.214
0.36805,256.62
0.36819,327.366
0.36832,232.42
0.36846,309.348
0.3686,282.102
0.36873,293.237
0.36887,162.047
0.369,285.016
0.36914,303.021
0.36928,389.506
0.36941,299.611
0.36955,335.183
0.36969,328.073
0.36982,342.451
0.36996,306.516
0.3701,365.237
0.37023,329.357
0.37037,361.752
0.37051,213.276
0.37064,154.025
0.37078,301.627
0.37092,218.241
0.37106,164.491
0.3712,300.509
0.37133,349.144
0.37147,421.139
0.37161,410.221
0.37175,343.76
0.37189,368.476
0.37202,177.314
0.37216,152.82
0.3723,150.374
0.37244,305.094
0.37258,275.502
0.37272,376.554
0.37286,139.536
0.373,340.346
0.37313,304.548
0.37327,309.896
0.37341,167.576
0.37355,91.8162
0.37369,162.441
0.37383,85.0526
0.37397,259.45
0.37411,317.995
0.37425,336.67
0.37439,246.569
0.37453,233.966
0.37467,80.1125
0.37481,213.97
0.37495,88.9624
0.37509,104.178
0.37523,256.631
0.37538,293.258
0.37552,342.715
0.37566,410.6
0.3758,314.638
0.37594,110.995
0.37608,244.181
0.37622,282.532
0.37636,297.19
0.37651,143.581
0.37665,301.462
0.37679,184.376
0.37693,282.109
0.37707,276.73
0.37722,247.662
0.37736,363.706
0.3775,380.453
0.37764,341.837
0.37779,373.725
0.37793,322.493
0.37807,387.115
0.37821,423.691
0.37836,386.445
0.3785,391.953
0.37864,375.746
0.37879,274.432
0.37893,252.862
0.37908,236.135
0.37922,289.351
0.37936,299.665
0.37951,238.586
0.37965,246.77
0.37979,263.192
0.37994,152.001
0.38008,201.266
0.38023,325.34
0.38037,358.533
0.38052,404.101
0.38066,329.795
0.38081,207.735
0.38095,321.9
0.3811,371.117
0.38124,281.807
0.38139,243.052
0.38153,247.333
0.38168,127.863
0.38183,325.939
0.38197,324.364
0.38212,96.9896
0.38226,182.935
0.38241,291.198
0.38256,129.441
0.3827,89.6563
0.38285,173.141
0.383,195.911
0.38314,263.283
0.38329,135.109
0.38344,141.539
0.38358,144.957
0.38373,194.25
0.38388,150.044
0.38402,149.412
0.38417,96.3299
0.38432,267.925
0.38447,233.701
0.38462,255.711
