wavelength_um,sw,u_random_sw,u_param_sw,u_scatter_sw,to,u_random_to,u_param_to,u_scatter_to,lw,u_random_lw,u_param_lw,u_scatter_lw,ss,u_random_ss,u_param_ss,u_scatter_ss
2.26377,0.83532,0.00068525,0.00052076,0.000445396,0.960893,0.000486852,0.000318833,0.000367926,0.000891266,7.71229e-05,1.29892e-05,7.60212e-05,0.63486,0.000454319,0.000331848,0.000310294
2.26557,0.835414,0.000691092,0.000522911,0.000451853,0.960904,0.000489188,0.000316485,0.000373017,0.000894423,7.51453e-05,1.30418e-05,7.40049e-05,0.634879,0.000451105,0.000330625,0.000306893
2.26738,0.835506,0.00069727,0.000525482,0.000458316,0.960915,0.000491563,0.00031411,0.000378112,0.000897464,7.3171e-05,1.31104e-05,7.19869e-05,0.634898,0.000447993,0.000329534,0.000303489
2.26919,0.835597,0.000703768,0.000528455,0.000464784,0.960926,0.000493977,0.000311708,0.000383212,0.000900379,7.12007e-05,1.31948e-05,6.99674e-05,0.634917,0.000444989,0.000328582,0.000300082
2.271,0.835686,0.000710563,0.000531806,0.000471257,0.960937,0.000496431,0.000309282,0.000388315,0.000903158,6.92347e-05,1.32946e-05,6.79463e-05,0.634936,0.000442095,0.000327771,0.000296672
2.27281,0.835774,0.000717627,0.000535498,0.000477735,0.960948,0.000498926,0.000306832,0.000393422,0.000905793,6.72735e-05,1.34095e-05,6.59235e-05,0.634954,0.000439317,0.000327106,0.00029326
2.27463,0.835862,0.000724924,0.000539489,0.000484218,0.960959,0.000501461,0.000304359,0.000398533,0.000908272,6.53177e-05,1.35387e-05,6.38991e-05,0.634973,0.000436657,0.000326587,0.000289844
2.27644,0.835949,0.000732414,0.000543725,0.000490706,0.960969,0.000504038,0.000301865,0.000403649,0.000910587,6.33677e-05,1.36814e-05,6.18731e-05,0.634991,0.000434117,0.000326216,0.000286427
2.27826,0.836035,0.000740051,0.00054815,0.0004972,0.96098,0.000506658,0.00029935,0.000408768,0.000912728,6.14243e-05,1.38368e-05,5.98455e-05,0.635009,0.000431698,0.000325992,0.000283006
2.28007,0.836121,0.000747789,0.000552699,0.000503698,0.96099,0.000509319,0.000296816,0.000413892,0.000914685,5.94881e-05,1.40037e-05,5.78163e-05,0.635026,0.000429402,0.000325913,0.000279583
2.28189,0.836206,0.000755575,0.000557304,0.000510202,0.961001,0.000512024,0.000294264,0.00041902,0.000916449,5.75598e-05,1.41811e-05,5.57855e-05,0.635044,0.000427227,0.000325976,0.000276157
2.28371,0.836292,0.000763357,0.000561893,0.000516711,0.961011,0.000514772,0.000291695,0.000424152,0.00091801,5.56401e-05,1.43678e-05,5.3753e-05,0.635061,0.000425172,0.000326176,0.000272728
2.28553,0.836378,0.000771081,0.000566394,0.000523226,0.961021,0.000517564,0.000289111,0.000429287,0.000919358,5.373e-05,1.45625e-05,5.17189e-05,0.635078,0.000423236,0.000326509,0.000269296
2.28736,0.836464,0.000778693,0.00057073,0.000529745,0.961032,0.0005204,0.000286512,0.000434427,0.000920483,5.18304e-05,1.47638e-05,4.96832e-05,0.635095,0.000421415,0.000326968,0.000265862
2.28918,0.836551,0.000786138,0.000574828,0.00053627,0.961042,0.00052328,0.000283899,0.000439572,0.000921377,4.99424e-05,1.49704e-05,4.76459e-05,0.635112,0.000419706,0.000327545,0.000262425
2.29101,0.836639,0.000793363,0.000578614,0.0005428,0.961052,0.000526204,0.000281275,0.00044472,0.000922029,4.80672e-05,1.5181e-05,4.5607e-05,0.635128,0.000418103,0.000328232,0.000258985
2.29284,0.836727,0.000800319,0.000582015,0.000549335,0.961062,0.000529174,0.000278639,0.000449872,0.000922429,4.62062e-05,1.53942e-05,4.35664e-05,0.635144,0.000416601,0.000329019,0.000255543
2.29466,0.836817,0.00080238,0.000584963,0.000549209,0.961072,0.000527833,0.000275994,0.000449927,0.000922568,4.53634e-05,1.56086e-05,4.25936e-05,0.63516,0.00041598,0.000329897,0.000253391
2.29649,0.836909,0.000801311,0.000587393,0.00054504,0.961081,0.000523854,0.00027334,0.000446888,0.000922437,4.51332e-05,1.58228e-05,4.22687e-05,0.635175,0.000415908,0.000330853,0.000252023
2.29833,0.837002,0.000799841,0.000589244,0.000540867,0.961091,0.000519871,0.000270678,0.000443846,0.000922026,4.49044e-05,1.60355e-05,4.19436e-05,0.635191,0.000415896,0.000331877,0.000250653
2.30016,0.837096,0.000797924,0.000590462,0.000536691,0.961101,0.000515884,0.000268011,0.000440802,0.000921324,4.46765e-05,1.62453e-05,4.16183e-05,0.635206,0.000415934,0.000332956,0.000249283
2.302,0.837193,0.000795531,0.000591017,0.000532512,0.961111,0.000511892,0.000265338,0.000437755,0.000920323,4.4449e-05,1.64509e-05,4.12926e-05,0.635221,0.000416013,0.000334076,0.000247911
2.30383,0.837291,0.00079268,0.000590941,0.000528329,0.96112,0.000507898,0.000262662,0.000434706,0.000919013,4.42214e-05,1.6651e-05,4.09668e-05,0.635235,0.000416121,0.000335225,0.000246538
2.30567,0.837391,0.000789401,0.000590279,0.000524143,0.96113,0.000503901,0.000259982,0.000431654,0.000917384,4.39931e-05,1.68443e-05,4.06406e-05,0.635249,0.000416248,0.000336388,0.000245164
2.30751,0.837491,0.000785728,0.000589081,0.000519953,0.961139,0.000499902,0.000257302,0.0004286,0.000915426,4.37635e-05,1.70296e-05,4.03142e-05,0.635263,0.000416382,0.000337551,0.000243789
2.30935,0.837592,0.000781694,0.000587399,0.00051576,0.961149,0.000495902,0.000254621,0.000425543,0.00091313,4.3532e-05,1.72056e-05,3.99876e-05,0.635277,0.000416512,0.000338701,0.000242413
2.31119,0.837693,0.000777338,0.000585284,0.000511564,0.961158,0.000491902,0.000251941,0.000422484,0.000910486,4.32981e-05,1.73712e-05,3.96607e-05,0.63529,0.000416625,0.000339821,0.000241036
2.31303,0.837794,0.000772697,0.000582788,0.000507365,0.961168,0.000487901,0.000249263,0.000419423,0.000907485,4.30611e-05,1.75252e-05,3.93335e-05,0.635303,0.00041671,0.000340898,0.000239658
2.31488,0.837894,0.000767807,0.000579962,0.000503162,0.961177,0.000483902,0.000246588,0.000416359,0.000904117,4.28203e-05,1.76665e-05,3.9006e-05,0.635316,0.000416754,0.000341917,0.000238278
2.31673,0.837993,0.000762704,0.000576853,0.000498956,0.961186,0.000479903,0.000243918,0.000413293,0.000900371,4.25751e-05,1.7794e-05,3.86783e-05,0.635329,0.000416743,0.000342862,0.000236898
2.31857,0.838091,0.00075742,0.000573508,0.000494746,0.961196,0.000475907,0.000241254,0.000410224,0.00089624,4.23249e-05,1.79066e-05,3.83504e-05,0.635341,0.000416665,0.000343718,0.000235516
2.32042,0.838187,0.000751986,0.000569965,0.000490533,0.961205,0.000471913,0.000238596,0.000407153,0.000891712,4.2069e-05,1.80033e-05,3.80222e-05,0.635352,0.000416508,0.000344471,0.000234134
2.32228,0.838282,0.00074643,0.000566263,0.000486317,0.961214,0.000467922,0.000235947,0.00040408,0.000886778,4.18068e-05,1.80831e-05,3.76937e-05,0.635364,0.000416258,0.000345106,0.00023275
2.32413,0.838374,0.000740775,0.000562432,0.000482097,0.961223,0.000463935,0.000233307,0.000401003,0.000881429,4.15377e-05,1.81451e-05,3.73649e-05,0.635375,0.000415902,0.000345608,0.000231365
2.32598,0.838464,0.000735039,0.000558496,0.000477874,0.961232,0.000459952,0.000230677,0.000397925,0.000875655,4.1261e-05,1.81883e-05,3.70359e-05,0.635386,0.000415428,0.000345963,0.000229979
2.32784,0.838551,0.000729237,0.000554477,0.000473648,0.961241,0.000455975,0.000228059,0.000394844,0.000869447,4.09762e-05,1.82118e-05,3.67066e-05,0.635396,0.000414823,0.000346156,0.000228592
2.32969,0.838634,0.000723379,0.000550385,0.000469418,0.96125,0.000452002,0.000225454,0.000391761,0.000862802,4.06828e-05,1.82153e-05,3.63771e-05,0.635406,0.000414074,0.000346173,0.000227203
2.33155,0.838715,0.00071953,0.000546228,0.000468357,0.96126,0.00045085,0.000222863,0.000391915,0.000855738,4.04701e-05,1.81991e-05,3.61473e-05,0.635416,0.000414385,0.000346003,0.000228028
2.33341,0.838791,0.00071736,0.000542005,0.000469932,0.961269,0.000452067,0.000220286,0.000394764,0.000848271,4.03231e-05,1.81639e-05,3.60003e-05,0.635426,0.00041556,0.000345646,0.000230693
2.33527,0.838863,0.000715158,0.000537709,0.000471507,0.961278,0.000453324,0.000217727,0.000397615,0.000840419,4.01676e-05,1.81103e-05,3.58532e-05,0.635435,0.000416593,0.000345098,0.000233361
2.33714,0.838932,0.000712915,0.000533328,0.000473084,0.961287,0.00045462,0.000215184,0.000400468,0.0008322,4.00041e-05,1.8039e-05,3.5706e-05,0.635443,0.000417486,0.00034436,0.00023603
2.339,0.838995,0.000710619,0.000528842,0.000474662,0.961296,0.000455954,0.00021266,0.000403324,0.000823631,3.98327e-05,1.79506e-05,3.55587e-05,0.635452,0.000418241,0.000343433,0.000238702
2.34087,0.839054,0.000708254,0.00052423,0.000476242,0.961305,0.000457328,0.000210156,0.000406182,0.00081473,3.96539e-05,1.78459e-05,3.54113e-05,0.63546,0.00041886,0.000342318,0.000241376
2.34273,0.839107,0.000705802,0.000519464,0.000477822,0.961314,0.000458741,0.000207672,0.000409042,0.000805515,3.94681e-05,1.77256e-05,3.52637e-05,0.635468,0.000419348,0.000341015,0.000244052
2.3446,0.839155,0.000703245,0.000514514,0.000479404,0.961323,0.000460192,0.00020521,0.000411904,0.000796003,3.92756e-05,1.75906e-05,3.51161e-05,0.635475,0.000419707,0.000339526,0.00024673
2.34647,0.839198,0.000700561,0.000509349,0.000480988,0.961332,0.000461681,0.000202771,0.000414769,0.000786211,3.90768e-05,1.74417e-05,3.49683e-05,0.635483,0.000419943,0.000337855,0.000249411
2.34834,0.839234,0.000697732,0.000503938,0.000482572,0.961341,0.000463209,0.000200356,0.000417636,0.000776159,3.88722e-05,1.72797e-05,3.48204e-05,0.63549,0.000420059,0.000336004,0.000252093
