Wavelength,Normalized Flux,Relative Uncertainty
[m],Shirley F1 Case Approx,
1.40E-05,0.972908586,0.1
1.41E-05,0.972718902,0.1
1.42E-05,0.972528884,0.1
1.43E-05,0.97233871,0.1
1.44E-05,0.972148382,0.1
1.45E-05,0.971957726,0.1
1.46E-05,0.971766432,0.1
1.47E-05,0.971574134,0.1
1.48E-05,0.971380497,0.1
1.49E-05,0.971185269,0.1
1.50E-05,0.970988308,0.1
1.51E-05,0.970789552,0.1
1.52E-05,0.970588971,0.1
1.54E-05,0.970386508,0.1
1.55E-05,0.970182047,0.1
1.56E-05,0.969975408,0.1
1.57E-05,0.969766387,0.1
1.58E-05,0.969554818,0.1
1.59E-05,0.969340633,0.1
1.60E-05,0.969123917,0.1
1.61E-05,0.968904908,0.1
1.62E-05,0.968683979,0.1
1.63E-05,0.968461566,0.1
1.65E-05,0.968238097,0.1
1.66E-05,0.968013919,0.1
1.67E-05,0.967789246,0.1
1.68E-05,0.967564153,0.1
1.69E-05,0.967338589,0.1
1.70E-05,0.967112435,0.1
1.71E-05,0.966885551,0.1
1.73E-05,0.966657828,0.1
1.74E-05,0.966429212,0.1
1.75E-05,0.9661997,0.1
1.76E-05,0.96596931,0.1
1.78E-05,0.965738033,0.1
1.79E-05,0.965505789,0.1
1.80E-05,0.965272391,0.1
1.81E-05,0.965037534,0.1
1.82E-05,0.964800816,0.1
1.84E-05,0.964561784,0.1
1.85E-05,0.964319991,0.1
1.86E-05,0.964075063,0.1
1.88E-05,0.963826751,0.1
1.89E-05,0.963574959,0.1
1.90E-05,0.96331975,0.1
1.92E-05,0.96306132,0.1
1.93E-05,0.962799955,0.1
1.94E-05,0.962535977,0.1
1.96E-05,0.962269689,0.1
1.97E-05,0.96200134,0.1
1.98E-05,0.961731103,0.1
2.00E-05,0.961459077,0.1
2.01E-05,0.961185312,0.1
2.02E-05,0.960909842,0.1
2.04E-05,0.960632722,0.1
2.05E-05,0.960354064,0.1
2.07E-05,0.960074049,0.1
2.08E-05,0.959792929,0.1
2.10E-05,0.959511006,0.1
2.11E-05,0.959228598,0.1
2.12E-05,0.958945986,0.1
2.14E-05,0.958663375,0.1
2.15E-05,0.958380851,0.1
2.17E-05,0.958098358,0.1
2.18E-05,0.957815688,0.1
2.20E-05,0.957532501,0.1
2.21E-05,0.957248352,0.1
2.23E-05,0.956962736,0.1
2.25E-05,0.956675138,0.1
2.26E-05,0.956385076,0.1
2.28E-05,0.956092146,0.1
2.29E-05,0.955796041,0.1
2.31E-05,0.955496561,0.1
2.32E-05,0.955193607,0.1
2.34E-05,0.954887155,0.1
2.36E-05,0.954577233,0.1
2.37E-05,0.954263881,0.1
2.39E-05,0.953947124,0.1
2.41E-05,0.953626949,0.1
2.42E-05,0.953303294,0.1
2.44E-05,0.952976048,0.1
2.46E-05,0.952645067,0.1
2.47E-05,0.952310197,0.1
2.49E-05,0.951971306,0.1
2.51E-05,0.951628314,0.1
2.53E-05,0.951281225,0.1
2.54E-05,0.950930148,0.1
2.56E-05,0.950575305,0.1
2.58E-05,0.950217034,0.1
2.60E-05,0.949855772,0.1
2.61E-05,0.94949203,0.1
2.63E-05,0.94912636,0.1
2.65E-05,0.948759316,0.1
2.67E-05,0.948391417,0.1
2.69E-05,0.948023109,0.1
2.71E-05,0.947654738,0.1
2.73E-05,0.94728653,0.1
2.74E-05,0.946918588,0.1
